Rowid_,FIPS,COUNT,AREA,MEAN
,5037,19,0.131944444444429,122.416071440044206
,5039,11,0.076388888888880,30.897527998143975
,5041,29,0.201388888888866,128.737529096932235
,5043,30,0.208333333333310,141.261017862955725
,5045,27,0.187499999999979,127.238605075412323
,5047,22,0.152777777777760,115.511843811381951
,5049,25,0.173611111111091,106.627076854705805
,5051,23,0.159722222222204,6.660030074741529
,5053,16,0.111111111111098,31.089661985635757
,5055,18,0.124999999999986,127.647911919487854
,5057,25,0.173611111111091,70.597843914031984
,5059,23,0.159722222222204,41.346868204033896
,5061,18,0.124999999999986,16.785818894704182
,5063,31,0.215277777777753,124.905004193705892
,5065,21,0.145833333333317,120.925275893438425
,5067,28,0.194444444444422,130.752841132027754
,5069,37,0.256944444444415,138.327148643699843
,5071,18,0.124999999999986,120.662060207790802
