county_fips,production_survey
20209,21911.11111111111
21001,46655.555555555555
21003,41633.333333333336
21005,
21007,731535.0
21009,134025.0
21011,9666.666666666666
21013,
21015,13000.0
21017,75038.88888888889
21019,
21021,32680.0
21023,9600.0
21025,
21027,134300.0
21029,31627.272727272728
21031,44722.22222222222
21033,791233.3333333334
21035,995333.3333333334
21037,
21039,373010.0
21041,
21043,
21045,25037.5
21047,3771371.4285714286
21049,30077.777777777777
21051,
21053,20233.333333333332
21055,189041.17647058822
21057,
21059,643610.0
21061,25500.0
21063,
21065,
21067,33500.0
21069,19792.30769230769
21071,
21073,
21075,722900.0
21077,20340.0
21079,13825.0
21081,
21083,1269380.0
21085,63257.142857142855
21087,25112.5
21089,
21091,109990.0
21093,231652.38095238095
21095,
21097,27245.454545454544
21099,25166.666666666668
21101,302933.3333333333
21103,25829.41176470588
21105,955547.619047619
21107,186850.0
21109,
21111,
21113,27800.0
21115,
21117,
21119,
21121,
21123,120913.33333333333
21125,
21127,
21129,
21131,
21133,
21135,33000.0
21137,34473.68421052631
21139,92950.0
21141,2988209.523809524
21143,95650.0
21145,257425.0
21147,
21149,508875.0
21151,
21153,
21155,135566.66666666666
21157,254700.0
21159,
21161,26591.666666666668
21163,233742.1052631579
21165,
21167,42712.5
21169,33125.0
21171,49080.0
21173,31133.333333333332
21175,
21177,107571.42857142857
21179,261742.1052631579
21181,17100.0
21183,86385.71428571429
21185,53558.82352941176
21187,33533.333333333336
21189,
21191,4300.0
21193,
21195,
21197,
21199,90536.84210526316
21201,
21203,
21205,
21207,28122.222222222223
21209,23690.909090909092
21211,167276.19047619047
21213,1789576.1904761905
21215,39227.27272727273
21217,83066.66666666667
21219,2123614.285714286
21221,944138.0952380953
21223,28570.0
21225,687557.1428571428
21227,1001210.0
21229,53425.0
21231,96110.52631578948
21233,162954.54545454544
21235,
21237,
21239,20670.0
22001,137500.0
22003,
22005,
22007,
22009,440900.0
22011,63750.0
22013,
22015,163888.88888888888
22017,123750.0
22019,
22021,65000.0
22023,
22025,343600.0
22027,
22029,332000.0
22031,52500.0
22033,
22035,316900.0
22037,
22039,160888.88888888888
22041,1005000.0
22043,88000.0
22045,
22047,136666.66666666666
22049,
22051,
22053,146333.33333333334
22055,96666.66666666667
22057,
22059,
22061,
22063,
22065,187600.0
22067,657200.0
22069,157600.0
22071,
22073,206000.0
22075,
22077,1253500.0
22079,166800.0
22081,155571.42857142858
22083,967600.0
22085,
22087,
22089,
22091,
22093,
22095,
22097,542700.0
22099,105000.0
22101,
22103,
22105,
22107,383600.0
22109,
22111,
22113,
22115,
22117,
22119,
22121,83333.33333333333
22123,666200.0
22125,55000.0
22127,
23001,
23003,
23005,
23007,
23009,
23011,
23013,
23015,
23017,
23019,
23021,
23023,
23025,
23027,
23029,
23031,
24001,
24003,101771.42857142857
24005,194235.7142857143
24009,102975.0
24011,1272823.8095238095
24013,611615.7894736842
24015,435840.0
24017,139575.0
24019,1054838.888888889
24021,952038.0952380953
24023,
24025,173688.23529411765
24027,121764.28571428571
24029,1250831.5789473683
24031,311212.5
24033,59214.28571428572
24035,1741444.4444444445
24037,273412.5
24039,445776.1904761905
24041,964400.0
24043,349236.84210526315
24045,259241.17647058822
24047,546482.3529411765
24510,
25001,
25003,
25005,
25007,
25009,
25011,
25013,
25015,
25017,
25019,
25021,
25023,
25025,
25027,
26001,71470.0
26003,
26005,474736.84210526315
26007,188276.4705882353
26009,52150.0
26011,513014.28571428574
26013,
26015,458175.0
26017,1001442.8571428572
26019,
26021,218516.66666666666
26023,330700.0
26025,536390.4761904762
26027,156777.77777777778
26029,
26031,28550.0
26033,18000.0
26035,79636.36363636363
26037,1639014.2857142857
26039,
26041,31000.0
26043,
26045,1127471.4285714286
26047,
26049,538314.2857142857
26051,112087.5
26053,
26055,64415.38461538462
26057,1485295.238095238
26059,862042.8571428572
26061,
26063,4741714.285714285
26065,1191271.4285714286
26067,959804.7619047619
26069,115633.33333333333
26071,
26073,1178666.6666666667
26075,531319.0476190476
26077,239593.33333333334
26079,61333.333333333336
26081,380947.61904761905
26083,
26085,35000.0
26087,611571.4285714285
26089,
26091,2562966.6666666665
26093,450442.85714285716
26095,
26097,
26099,224823.80952380953
26101,
26103,
26105,231519.04761904763
26107,109457.8947368421
26109,
26111,330760.0
26113,38963.63636363636
26115,1647423.8095238095
26117,885125.0
26119,56550.0
26121,109907.14285714286
26123,110364.28571428571
26125,86828.57142857143
26127,117071.42857142857
26129,145855.0
26131,37400.0
26133,52771.42857142857
26135,
26137,43714.28571428572
26139,297035.0
26141,160133.33333333334
26143,
26145,1874238.0952380951
26147,822595.2380952381
26149,168976.4705882353
26151,3870471.4285714286
26153,
26155,1721771.4285714286
26157,2377100.0
26159,70020.0
26161,908390.4761904762
26163,30957.14285714286
26165,20600.0
27001,
27003,
27005,
27007,
27009,39500.0
27011,
27013,
27015,
27017,
27019,34450.0
27021,
27023,
27025,
27027,
27029,30250.0
27031,
27033,
27035,
27037,
27039,
